trades,net,net_pct,pf,dd_pct,win_pct,recovery,passed,objective,EMAFast,EMAMid,EMASlow,RatioTP
2132,4427.440000000001,44.274400000000014,1.0299700126583136,52.37153650924444,27.814258911819888,0.8214342036664942,False,4427.440000000001,20,35,105,5.0
2383,4425.8499999999985,44.258499999999984,1.027367026586799,50.57710070585608,28.535459504825848,0.7518848724334641,False,4425.8499999999985,35,45,55,4.5
153,4319.53,43.195299999999996,1.4932270952728395,10.628964171726432,35.294117647058826,3.9328878003478023,True,4319.53,50,90,75,5.0
2080,4303.36,43.03359999999999,1.0301103346844416,41.61428681831064,28.076923076923077,0.8324744262345818,False,4303.36,40,45,135,4.5
183,4278.969999999999,42.78969999999999,1.40710531723802,13.984473522097968,35.51912568306011,2.467175211605435,True,4278.969999999999,45,90,75,4.5
271,4227.870000000001,42.27870000000001,1.2616928233426281,17.490510600701974,35.05535055350554,2.1593901629296703,True,4227.870000000001,40,100,95,3.5
2213,4173.580000000002,41.73580000000002,1.0279949719351342,54.34602136941377,29.055580659737913,0.655232180255651,False,4173.580000000002,40,45,90,4.0
2142,4159.62,41.5962,1.02766290416801,51.39079743481799,27.124183006535947,0.5844732305072313,False,4159.62,25,30,190,5.0
2152,4106.210000000001,41.06210000000001,1.027785632828731,47.3286678199627,28.25278810408922,0.6676557959997983,False,4106.210000000001,35,45,100,4.5
2109,4078.9300000000026,40.789300000000026,1.0280664131953352,46.51420491692466,28.212422949265054,0.6478193888571251,False,4078.9300000000026,25,45,100,4.5
2135,4073.2699999999995,40.732699999999994,1.0278955901591045,53.39899999999997,28.384074941451992,0.6072121225673246,False,4073.2699999999995,25,45,85,4.5
2242,4027.1199999999985,40.271199999999986,1.026687813052238,54.159934817410985,29.170383586083855,0.6088845814818116,False,4027.1199999999985,40,45,85,4.0
2202,4014.67,40.1467,1.025942006481576,40.083298917018034,27.293369663941867,0.6871246390801528,False,4014.67,25,30,170,5.0
107,4013.399999999999,40.13399999999999,1.6871730774169797,6.783833952533317,36.44859813084112,5.349131669087958,True,4013.399999999999,50,90,65,5.0
2363,3993.2400000000016,39.932400000000015,1.0236002503261017,29.323299999999996,26.28015234870927,0.8155511123546635,False,3993.2400000000016,20,25,170,5.0
2085,3967.0699999999997,39.6707,1.027676903009899,42.224511910153964,28.05755395683453,0.7695084504774669,False,3967.0699999999997,40,45,130,4.5
2331,3959.0800000000017,39.590800000000016,1.0248583061230694,50.407746037111586,28.356928356928357,0.6381989580109357,False,3959.0800000000017,25,45,55,4.5
2351,3946.45,39.464499999999994,1.0246340980185482,53.52628431802021,28.455976180348785,0.6140241691936907,False,3946.45,30,45,55,4.5
2052,3929.6299999999987,39.29629999999999,1.0278775813488374,39.75280488917268,28.07017543859649,0.8197129274433599,False,3929.6299999999987,35,45,135,4.5
2188,3919.9699999999984,39.19969999999998,1.0265963784139969,50.04917713093838,29.06764168190128,0.6640809100688645,False,3919.9699999999984,35,45,90,4.0
2019,3915.5699999999997,39.155699999999996,1.0281649201203773,43.13763203944364,28.083209509658246,0.7429176951843551,False,3915.5699999999997,30,45,135,4.5
183,3914.7699999999995,39.14769999999999,1.365160264871011,16.907549736637094,34.42622950819672,1.9230206214939038,True,3914.7699999999995,45,90,75,5.0
142,3907.46,39.0746,1.4875366514030466,14.463647263150145,35.91549295774648,2.2353634397775766,True,3907.46,45,90,65,4.5
268,3887.9800000000005,38.8798,1.234667609848606,21.146338606648378,32.83582089552239,1.7797624224668704,True,3887.9800000000005,40,100,95,4.5
153,3816.5000000000005,38.165000000000006,1.4357884327944923,10.628964171726432,35.294117647058826,3.2164950191312585,True,3816.5000000000005,50,90,75,4.5
359,3808.3900000000003,38.08390000000001,1.1745815491517297,23.354373894258455,35.37604456824512,1.5112658730158721,True,3808.3900000000003,30,100,95,3.5
2248,3799.4900000000007,37.99490000000001,1.0247095570731137,53.77562550690228,28.291814946619215,0.5390769763370192,False,3799.4900000000007,30,45,70,4.5
312,3772.710000000001,37.72710000000001,1.2019526624684977,22.188279060154752,35.8974358974359,1.568792232363765,True,3772.710000000001,35,100,95,3.5
2337,3740.769999999997,37.40769999999996,1.0223740767733411,30.351663802439244,26.272999572100986,0.7226390600671484,False,3740.769999999997,20,25,180,5.0
215,3738.53,37.38530000000001,1.2950221866583334,15.1167,35.81395348837209,2.1246234982553065,True,3738.53,45,85,80,4.5
176,3729.4100000000003,37.2941,1.3637685753719953,14.365300000000007,36.36363636363637,2.596123993233694,True,3729.4100000000003,45,85,70,4.5
2104,3722.3500000000013,37.223500000000016,1.025703955972338,54.870140460016195,28.041825095057032,0.6705160975381298,False,3722.3500000000013,20,35,100,5.0
2152,3715.0600000000013,37.15060000000001,1.0255408365255425,52.84964427637748,28.99628252788104,0.5828121053531565,False,3715.0600000000013,30,45,90,4.0
107,3707.7899999999995,37.0779,1.634846629968581,6.799098153716211,36.44859813084112,4.941809167122051,True,3707.7899999999995,50,90,65,4.5
2218,3685.42,36.8542,1.0246861449077016,49.95140929583594,29.170423805229937,0.6102173682676769,False,3685.42,35,45,85,4.0
2187,3677.1899999999996,36.771899999999995,1.0242338029255023,48.362608248762456,27.709190672153632,0.5614296249135453,False,3677.1899999999996,30,45,80,5.0
