trades,net,net_pct,pf,dd_pct,win_pct,recovery,passed,objective,FastEMA,SlowEMA,TrendSMA,ATRMultiplier,TPRatio
4669,-998635.9199999999,-99.86359199999998,0.76652060670391,99.86976757960585,31.09873634611266,-0.9715698683143089,False,-998635.9199999999,13,34,100,1.0,2.0
5896,-998674.96,-99.867496,0.8450655482324865,99.86849500000044,37.78833107191316,-0.9999899968453471,False,-998674.96,9,21,200,2.0,1.5
4679,-998685.1599999999,-99.868516,0.7297055853843136,99.87150198144111,46.291942722804016,-0.9917199340495964,False,-998685.1599999999,13,34,100,1.0,1.0
5730,-998704.3200000001,-99.87043200000001,0.7850515540866836,99.87404036364492,47.12041884816754,-0.9922645528201324,False,-998704.3200000001,5,55,200,1.5,1.0
6911,-998753.7799999999,-99.875378,0.9102545996071135,99.90245480114346,38.40254666473737,-0.7825164172302359,False,-998753.7799999999,5,21,100,2.0,1.5
4947,-998762.73,-99.876273,0.7496678457355099,99.88209583882194,46.59389529007479,-0.9916918678133014,False,-998762.73,9,55,100,1.0,1.0
6486,-998765.41,-99.876541,0.8266855430716952,99.88946134663111,47.74899784150478,-0.9865339282822274,False,-998765.41,9,34,100,1.5,1.0
4654,-998789.8500000001,-99.87898500000001,0.7759322845048013,99.87921999999982,37.150837988826815,-0.9999976471582396,False,-998789.8500000001,5,55,200,1.0,1.5
4569,-998846.1900000002,-99.88461900000001,0.7639767400618035,99.88673499999977,30.772597942657036,-0.9999788160059515,False,-998846.1900000002,13,21,200,1.0,2.0
6116,-998892.9500000002,-99.88929500000002,0.860964058775975,99.89960946557211,31.68737737083061,-0.9201845249682666,False,-998892.9500000002,5,21,200,2.0,2.0
5961,-998894.55,-99.889455,0.873953863887023,99.90792687796744,31.823519543700723,-0.8968133692197129,False,-998894.55,9,34,100,1.5,2.0
4631,-998992.7200000001,-99.89927200000001,0.7398265447654949,99.89931400000015,45.951198445260204,-0.9999995795766912,False,-998992.7200000001,5,55,200,1.0,1.0
4410,-999005.4999999999,-99.90054999999998,0.7568371124946282,99.90753700000018,36.507936507936506,-0.99993006533631,False,-999005.4999999999,9,34,200,1.0,1.5
6686,-999024.35,-99.902435,0.821237400697694,99.906955759256,47.307807358659886,-0.9606412931105177,False,-999024.35,5,34,100,2.0,1.0
5229,-999095.78,-99.909578,0.7629452737479967,99.91002425808631,37.34939759036144,-0.9950602732593797,False,-999095.78,13,21,100,1.0,1.5
5851,-999128.9700000002,-99.91289700000003,0.8236797840585932,99.91657496626169,37.34404375320458,-0.9640479681924943,False,-999128.9700000002,5,34,200,2.0,1.5
5231,-999140.24,-99.914024,0.7807941341705614,99.91721307880603,31.16038998279488,-0.9715324359357993,False,-999140.24,13,21,100,1.0,2.0
